City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Viedma,AR,82.33,clear sky,-40.8135,-62.9967,Hotel Cristal
531,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
532,Santa Ana,US,84.78,fog,33.7456,-117.8678,Santa Ana Travel Inn
535,Uchiza,PE,84.97,broken clouds,-8.4592,-76.4633,Hotel San Pedro
536,Kilindoni,TZ,81.16,broken clouds,-7.9139,39.6668,Bustani B&B
537,Cassilandia,BR,80.89,light rain,-19.1133,-51.7342,Delirius Motel
539,Cabinda,AO,82.54,scattered clouds,-5.55,12.2,Hotel Maiombe
540,Sinnamary,GF,81.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
546,Carlsbad,US,84.76,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
547,Itarema,BR,86.77,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
548,Upington,ZA,86.38,clear sky,-28.4478,21.2561,River Place Manor
552,Todos Santos,MX,84.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
557,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
559,Vao,NC,76.6,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
565,Kavieng,PG,82.42,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
568,Ranot,TH,78.71,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
575,Twentynine Palms,US,78.93,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
578,Sola,VU,81.25,light rain,-13.8833,167.55,Leumerus Bungalows
581,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
585,Hambantota,LK,77.32,clear sky,6.1241,81.1185,Bungalow 63
586,Piacabucu,BR,85.08,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
589,Senanga,ZM,84.13,broken clouds,-16.1167,23.2667,Zango lodge
590,Empalme,MX,75.34,scattered clouds,27.9667,-110.8167,casa alejandro lopez
592,Xai-Xai,MZ,77.61,broken clouds,-25.0519,33.6442,Complexo da Familia
