City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Nanortalik,GL,60.1432,-45.2371,32.67,85,100,3.29,overcast clouds
252,Bathsheba,BB,13.2167,-59.5167,83.01,69,75,24.16,broken clouds
253,Ugoofaaru,MV,5.6667,73.0,81.64,78,93,9.51,overcast clouds
254,Tay Ninh,VN,11.3,106.1,71.02,93,100,7.09,light rain
255,Aden,YE,12.7794,45.0367,80.47,60,0,3.71,clear sky
256,Labuhan,ID,-6.8844,112.2051,75.81,92,100,9.33,moderate rain
257,Torbay,CA,47.6666,-52.7314,58.28,98,90,32.21,moderate rain
258,Santiago,CL,-33.4569,-70.6483,80.17,27,0,10.36,clear sky
259,College,US,64.8569,-147.8028,-6.59,76,40,6.91,scattered clouds
260,Mpongwe,ZM,-13.5091,28.155,74.61,35,23,6.49,few clouds
261,Raymondville,US,26.4815,-97.7831,75.94,59,15,9.01,few clouds
262,Cuiluan,CN,47.72,128.648,3.63,97,91,4.76,overcast clouds
263,Yarada,IN,17.65,83.2667,73.72,78,20,2.3,haze
264,Tessalit,ML,20.1986,1.0114,85.44,13,36,5.28,scattered clouds
265,Ilulissat,GL,69.2167,-51.1,30.22,80,75,1.14,broken clouds
266,Bubaque,GW,11.2833,-15.8333,82.6,65,44,9.35,scattered clouds
267,Superior,US,46.7208,-92.1041,37.08,69,1,6.91,clear sky
268,Georgetown,MY,5.4112,100.3354,80.55,84,20,3.44,few clouds
269,Norman Wells,CA,65.282,-126.8329,-38.16,67,20,0.0,few clouds
270,Nouadhibou,MR,20.931,-17.0347,78.78,34,0,12.66,dust
271,Kruisfontein,ZA,-34.0033,24.7314,62.89,70,39,7.92,scattered clouds
272,Salinas,US,36.6777,-121.6555,69.04,59,1,3.44,clear sky
273,Darhan,MN,49.4867,105.9228,8.51,91,13,4.83,few clouds
274,Pareora,NZ,-44.4871,171.2132,55.29,88,100,5.26,overcast clouds
275,Taltal,CL,-25.4,-70.4833,66.16,68,12,5.41,few clouds
276,Tabuk,PH,17.4189,121.4443,73.54,92,86,9.55,overcast clouds
277,Margate,GB,51.3813,1.3862,52.97,83,100,4.0,overcast clouds
278,Sitka,US,57.0531,-135.33,39.09,81,90,6.91,moderate rain
279,Beya,RU,53.0533,90.9139,24.37,77,95,7.9,overcast clouds
280,Abu Dhabi,AE,24.4667,54.3667,78.82,67,0,1.01,clear sky
281,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,77,75,12.68,broken clouds
282,Siyabuswa,ZA,-25.1132,29.0445,74.77,55,60,7.05,broken clouds
283,Annau,TM,37.8876,58.516,51.3,50,0,6.91,clear sky
284,Goderich,CA,43.7501,-81.7165,35.92,80,100,10.36,overcast clouds
285,Sept-Iles,CA,50.2001,-66.3821,28.06,65,90,11.99,light snow
286,Tadine,NC,-21.55,167.8833,77.11,86,0,6.91,clear sky
287,Samarai,PG,-10.6167,150.6667,82.6,82,100,12.5,overcast clouds
288,Marzuq,YE,14.4,46.4667,66.15,25,0,7.18,clear sky
289,Khasan,RU,42.4308,130.6434,24.66,76,100,30.13,overcast clouds
290,Coahuayana,MX,18.7333,-103.6833,85.48,53,34,4.07,scattered clouds
291,Kahului,US,20.8947,-156.47,76.84,85,1,0.0,light rain
