City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Saint-Pierre,RE,2021-11-29 03:01:54,-21.3393,55.4781,76.68,73,0,4.61
251,Gemena,CD,2021-11-29 03:05:46,3.25,19.7667,71.19,63,97,1.54
252,Sao Filipe,CV,2021-11-29 03:05:46,14.8961,-24.4956,75.16,71,99,14.45
253,Riyadh,SA,2021-11-29 03:05:47,24.6877,46.7219,53.74,37,0,7.07
254,Ugoofaaru,MV,2021-11-29 03:05:47,5.6667,73.0,80.69,77,87,11.27
255,Niquero,CU,2021-11-29 03:05:47,20.0431,-77.5828,74.08,81,19,5.82
256,Aguimes,ES,2021-11-29 03:05:48,27.9054,-15.4461,63.23,59,75,25.32
257,Bamora,IN,2021-11-29 03:05:48,24.0552,78.0909,66.16,41,87,4.07
258,Chokurdakh,RU,2021-11-29 03:05:49,70.6333,147.9167,-37.57,100,97,2.84
259,Tarut,SA,2021-11-29 03:05:49,26.5733,50.0369,69.78,47,0,16.02
260,Nkowakowa,ZA,2021-11-29 03:05:50,-23.8878,30.2871,64.45,70,59,3.44
261,Atambua,ID,2021-11-29 03:05:50,-9.1061,124.8925,84.18,63,100,3.49
262,Sayyan,YE,2021-11-29 03:05:50,15.1718,44.3244,44.76,48,0,5.59
263,Mana,GF,2021-11-29 03:05:51,5.6592,-53.7767,76.73,89,38,7.67
264,Santa Maria,BR,2021-11-29 03:02:59,-29.6842,-53.8069,67.73,94,77,10.96
265,Scarborough,GB,2021-11-29 03:05:51,54.2797,-0.4044,31.57,76,72,11.77
266,Vilhena,BR,2021-11-29 03:05:52,-12.7406,-60.1458,68.74,92,100,2.89
267,Lazaro Cardenas,MX,2021-11-29 03:05:52,17.9583,-102.2,75.83,76,3,4.61
268,Prince Albert,CA,2021-11-29 03:05:53,53.2001,-105.7677,14.23,97,98,5.03
269,Whitehorse,CA,2021-11-29 03:05:53,60.7161,-135.0538,-2.6,98,16,3.67
270,Quetta,PK,2021-11-29 03:05:54,30.199,67.0097,47.77,44,94,3.13
271,Olafsvik,IS,2021-11-29 03:05:54,64.8945,-23.7142,38.08,85,94,12.68
272,Deputatskiy,RU,2021-11-29 03:05:54,69.3,139.9,-12.5,96,100,4.9
273,Bata,GQ,2021-11-29 03:05:55,1.8639,9.7658,78.53,85,100,3.02
274,Lavrentiya,RU,2021-11-29 03:05:55,65.5833,-171.0,-12.42,91,9,7.58
275,Savantvadi,IN,2021-11-29 03:05:56,15.9,73.8167,77.16,72,91,6.02
276,Sept-Iles,CA,2021-11-29 03:05:56,50.2001,-66.3821,30.72,65,100,13.31
277,Tinton Falls,US,2021-11-29 03:05:56,40.3043,-74.1004,42.64,86,40,5.75
278,Malakal,SS,2021-11-29 03:06:57,9.5334,31.6605,79.79,45,27,1.16
279,Dingolfing,DE,2021-11-29 03:06:57,48.6333,12.5,33.13,96,100,5.37
280,Vasilyevskiy Mokh,RU,2021-11-29 03:06:58,57.0132,35.919,32.11,99,100,5.41
281,Axim,GH,2021-11-29 03:06:59,4.8699,-2.2405,77.92,87,48,5.61
282,Farafangana,MG,2021-11-29 03:06:59,-22.8167,47.8333,68.7,68,100,0.92
283,Sorong,ID,2021-11-29 03:06:59,-0.8833,131.25,84.61,70,81,7.29
284,Galesong,ID,2021-11-29 03:07:00,-5.3166,119.3661,86.02,86,100,10.36
285,Maku,IR,2021-11-29 03:07:00,39.2911,44.4521,43.05,82,47,2.66
286,Tarko-Sale,RU,2021-11-29 03:07:00,64.9225,77.785,-3.96,96,100,9.01
287,Shebunino,RU,2021-11-29 03:07:01,46.4339,141.8603,45.27,73,48,16.62
288,Miraflores,MX,2021-11-29 03:07:01,19.2167,-98.8083,59.65,66,92,2.19
289,Halifax,CA,2021-11-29 03:02:02,44.6453,-63.5724,34.0,76,74,7.54
290,Aklavik,CA,2021-11-29 03:07:02,68.2191,-135.0107,-10.55,83,100,17.65
291,Opuwo,NA,2021-11-29 03:07:03,-18.0607,13.84,66.09,27,31,2.62
292,Szydlowiec,PL,2021-11-29 03:03:02,51.2282,20.8611,34.27,95,100,12.71
293,Disraeli,CA,2021-11-29 03:07:03,45.9001,-71.3491,16.45,97,100,1.59
